id,item_id,store_id,category,risk,risk_score,velocity_percentile,forecast_7d,recent_daily_sales_28d,sales_trend_28,current_price,scenario_elasticity,elasticity_source,elasticity_weeks,recommended_discount_pct,expected_units_7d,expected_revenue_7d,risk_reason,discount_reason
HOBBIES_1_125_TX_3_evaluation,HOBBIES_1_125,TX_3,HOBBIES,HIGH,4,0.0588,0.877,0.036,-0.0667,11.73,-1.0,fallback,65,5,0.923,10.29,sales velocity is in the bottom 15% of category/store peers; recent sales trend is declining; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
HOBBIES_1_052_CA_3_evaluation,HOBBIES_1_052,CA_3,HOBBIES,HIGH,4,0.0588,0.877,0.036,-0.0667,5.88,-1.0,fallback,215,5,0.923,5.16,sales velocity is in the bottom 15% of category/store peers; recent sales trend is declining; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
FOODS_1_003_TX_3_evaluation,FOODS_1_003,TX_3,FOODS,HIGH,4,0.0588,0.877,0.036,-0.0667,3.23,-1.0,fallback,278,5,0.923,2.83,sales velocity is in the bottom 15% of category/store peers; recent sales trend is declining; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
HOBBIES_2_014_WI_3_evaluation,HOBBIES_2_014,WI_3,HOBBIES,HIGH,4,0.0882,0.877,0.036,-0.0667,0.97,-1.0,fallback,152,5,0.923,0.85,sales velocity is in the bottom 15% of category/store peers; recent sales trend is declining; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
HOUSEHOLD_1_335_WI_3_evaluation,HOUSEHOLD_1_335,WI_3,HOUSEHOLD,HIGH,4,0.0938,0.877,0.036,-0.0667,8.96,-1.689,historical_association,166,5,0.957,8.14,sales velocity is in the bottom 15% of category/store peers; recent sales trend is declining; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
FOODS_1_211_CA_2_evaluation,FOODS_1_211,CA_2,FOODS,HIGH,4,0.1176,3.059,0.393,-0.3043,5.64,-3.0,historical_association,252,5,3.567,19.11,sales velocity is in the bottom 15% of category/store peers; recent sales trend is declining strongly,smallest candidate meeting the scenario uplift and revenue guardrails
HOBBIES_1_360_CA_3_evaluation,HOBBIES_1_360,CA_3,HOBBIES,HIGH,4,0.1176,0.877,0.071,-0.125,14.94,-2.913,historical_association,277,5,1.019,14.46,sales velocity is in the bottom 15% of category/store peers; recent sales trend is declining; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
HOBBIES_1_315_TX_3_evaluation,HOBBIES_1_315,TX_3,HOBBIES,HIGH,4,0.1176,0.877,0.071,-0.125,4.97,-1.456,historical_association,272,5,0.945,4.46,sales velocity is in the bottom 15% of category/store peers; recent sales trend is declining; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
HOBBIES_2_103_CA_2_evaluation,HOBBIES_2_103,CA_2,HOBBIES,HIGH,4,0.1176,0.877,0.036,-0.0667,2.5,-0.426,historical_association,278,0,0.877,2.19,sales velocity is in the bottom 15% of category/store peers; recent sales trend is declining; near-term forecast is below its recent demand rate,no markdown: no candidate met the 5% unit-uplift and 95% revenue guardrails
HOBBIES_1_070_TX_2_evaluation,HOBBIES_1_070,TX_2,HOBBIES,HIGH,4,0.1176,0.877,0.107,-0.0625,5.88,-1.0,fallback,212,5,0.923,5.16,sales velocity is in the bottom 15% of category/store peers; recent sales trend is declining; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
HOUSEHOLD_2_106_CA_1_evaluation,HOUSEHOLD_2_106,CA_1,HOUSEHOLD,HIGH,4,0.125,0.877,0.107,-0.1765,8.44,-1.0,fallback,277,5,0.923,7.4,sales velocity is in the bottom 15% of category/store peers; recent sales trend is declining; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
HOUSEHOLD_1_464_CA_4_evaluation,HOUSEHOLD_1_464,CA_4,HOUSEHOLD,HIGH,4,0.125,0.877,0.036,-0.0667,9.47,-1.0,fallback,278,5,0.923,8.31,sales velocity is in the bottom 15% of category/store peers; recent sales trend is declining; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
HOUSEHOLD_1_504_TX_1_evaluation,HOUSEHOLD_1_504,TX_1,HOUSEHOLD,HIGH,4,0.125,0.877,0.036,-0.0667,3.38,-1.591,historical_association,220,5,0.952,3.06,sales velocity is in the bottom 15% of category/store peers; recent sales trend is declining; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
HOUSEHOLD_2_138_CA_4_evaluation,HOUSEHOLD_2_138,CA_4,HOUSEHOLD,HIGH,4,0.125,0.877,0.036,-0.0667,5.97,-1.0,fallback,277,5,0.923,5.24,sales velocity is in the bottom 15% of category/store peers; recent sales trend is declining; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
HOUSEHOLD_2_307_WI_1_evaluation,HOUSEHOLD_2_307,WI_1,HOUSEHOLD,HIGH,4,0.125,0.877,0.107,-0.0625,5.98,-1.0,fallback,123,5,0.923,5.25,sales velocity is in the bottom 15% of category/store peers; recent sales trend is declining; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
FOODS_3_606_TX_2_evaluation,FOODS_3_606,TX_2,FOODS,HIGH,4,0.2647,1.38,0.357,-0.2727,2.88,-1.0,fallback,163,5,1.453,3.98,sales velocity is in the bottom 35% of category/store peers; recent sales trend is declining strongly; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
FOODS_3_541_CA_1_evaluation,FOODS_3_541,CA_1,FOODS,MEDIUM,3,0.0588,0.877,0.0,0.0,1.0,-1.0,fallback,278,5,0.923,0.88,sales velocity is in the bottom 15% of category/store peers; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
HOBBIES_1_102_TX_1_evaluation,HOBBIES_1_102,TX_1,HOBBIES,MEDIUM,3,0.0588,0.877,0.0,0.0,4.98,-1.0,fallback,205,5,0.923,4.37,sales velocity is in the bottom 15% of category/store peers; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
HOBBIES_1_118_CA_2_evaluation,HOBBIES_1_118,CA_2,HOBBIES,MEDIUM,3,0.0588,0.877,0.0,0.0,11.12,-3.0,historical_association,278,5,1.023,10.81,sales velocity is in the bottom 15% of category/store peers; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
HOBBIES_1_047_WI_2_evaluation,HOBBIES_1_047,WI_2,HOBBIES,MEDIUM,3,0.0588,0.877,0.0,0.0,1.77,-0.947,historical_association,278,10,0.969,1.54,sales velocity is in the bottom 15% of category/store peers; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
HOBBIES_1_051_WI_1_evaluation,HOBBIES_1_051,WI_1,HOBBIES,MEDIUM,3,0.0588,0.877,0.0,0.0,5.98,-1.0,fallback,163,5,0.923,5.25,sales velocity is in the bottom 15% of category/store peers; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
HOBBIES_1_054_TX_2_evaluation,HOBBIES_1_054,TX_2,HOBBIES,MEDIUM,3,0.0588,0.877,0.0,0.0,2.97,-1.0,fallback,187,5,0.923,2.61,sales velocity is in the bottom 15% of category/store peers; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
FOODS_2_073_WI_2_evaluation,FOODS_2_073,WI_2,FOODS,MEDIUM,3,0.0588,0.877,0.0,0.0,5.98,-1.0,fallback,101,5,0.923,5.25,sales velocity is in the bottom 15% of category/store peers; near-term forecast is below its recent demand rate,smallest candidate meeting the scenario uplift and revenue guardrails
FOODS_1_079_CA_3_evaluation,FOODS_1_079,CA_3,FOODS,MEDIUM,3,0.0588,0.877,0.0,0.0,4.58,-0.428,historical_association,232,0,0.877,4.02,sales velocity is in the bottom 15% of category/store peers; near-term forecast is below its recent demand rate,no markdown: no candidate met the 5% unit-uplift and 95% revenue guardrails
